id,author_id,text,conversation_id,in_reply_to_user_id,sender_location,receiver_location
1641769213462302721,21298074,@mirjamlederwerg Ik geloof het wel.,1641455728958357506,454142767,"[-4.7764112, 36.4863005, -4.5921218, 36.6255465]","[4.7946271, 52.1615468, 5.0217418, 52.3041119]"
1641769076153368578,21298074,@mirjamlederwerg Die ken ik hier niet.,1641720811701653504,454142767,"[-4.7764112, 36.4863005, -4.5921218, 36.6255465]","[4.7946271, 52.1615468, 5.0217418, 52.3041119]"
1641765800250843136,143788349,"@MisterSenseo @MilfHummie Heel stom! Als ik weer cursus heb, ga ik er zeker over beginnen. Dat heb je alvast te weeg gebracht.",1641526240451371031,365677125,"[4.6750992, 51.9056092, 4.8323339, 51.9841161]","[4.1903465, 52.0148713, 4.4224441, 52.1388646]"
1641760234489167873,123950495,@merchandise @SaschaJanssen @JaapFriso @MerelMilou @heuswaar @ashatenbroeke @NLRebellion Ik om de bevestiging. Omdat ik meteen beeld had.,1641442842055938049,7167342,"[5.7576521, 51.7905544, 5.9082602, 51.8947409]","[5.1830769, 51.3055699, 5.3137105, 51.4365525]"
1641756738385854465,940899377543110656,"@Pieterjanvl Maar ik was dus Vlaanderen aan het uitlachen, niet hij, de trotse Vlaming met zijn gebrekkig Nederlands maar ik 🙄",1641726576650772481,48287280,"[5.2121062, 50.8677279, 5.4145591, 50.9815265]","[4.774005, 50.9533704, 4.9369701, 51.0376519]"
1641738920630140932,1030457076286406656,@maartjejan Ik heb nu wel zin in een Tjolk. Die met die aap.,1641736112916897792,370875348,"[4.1903465, 52.0148713, 4.4224441, 52.1388646]","[4.9702867, 52.0262429, 5.1952468, 52.142137]"
1641724030901207041,1635231487153827842,@petor76 Goed werk! Gelukkig is er nog vrijheid in de kunst. Ik volg je op deze koude #terugvolgvrijdag,1641652627875217410,20969469,"[4.5464935, 51.9334832, 4.6887303, 52.065568]","[4.7951199, 52.2418745, 4.9092753, 52.3306079]"
1641713769037324290,1621056067642736642,@sanderoord Nog nooit iets van gemerkt! Ik dacht altijd dat je een zwak voor sterke vrouwen had😂😂😂,1641693975751925761,149469986,"[4.5534367, 51.8009548, 4.6715661, 51.8472168]","[4.1903465, 52.0148713, 4.4224441, 52.1388646]"
1641713151023489026,123950495,@merchandise @lotjebesijn Ik bel mevrouw Halsema wel even. Als je er een terras aan koppelt moet een vergunning zo gepiept zijn.,1641706109265125378,7167342,"[5.7576521, 51.7905544, 5.9082602, 51.8947409]","[5.1830769, 51.3055699, 5.3137105, 51.4365525]"
1641713021662756864,42921898,@NS_VenS_chris @PBarlingen @dominospizzanl Energiebijdrage..... Ik noem het eerder oplichting.,1641466949170352132,1531226105012682752,"[6.7559955, 52.1611799, 6.981174, 52.2855112]","[4.6748243, 52.4165236, 4.862646, 52.520406]"
1641665089081057282,1512276859534426113,@batamigo Nu wil ik hem ook 😩,1641359081809014785,205883464,"[4.1155933, 51.9413602, 4.3098679, 52.0677645]","[5.4768871, 52.2023675, 5.6836046, 52.2932881]"
